### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,469,959,136.111,0,255,0,0,100,1,1
1,821,712,-78.3134,0,255,0,0,100,1,1
2,636,150,93.3141,0,255,0,0,100,1,1
3,768,334,-128.19,0,255,0,0,100,1,1
4,405,349,131.402,0,255,0,0,100,1,1
5,48,401,-130.568,0,255,0,0,100,1,1
6,660,327,176.861,0,255,0,0,100,1,1
7,388,701,-161.294,0,255,0,0,100,1,1
8,413,605,20.1055,0,255,0,0,100,1,1
9,398,902,168.797,0,255,0,0,100,1,1
10,584,262,178.839,0,255,0,0,100,1,1
11,673,758,5.7502,0,255,0,0,100,1,1
12,161,685,133.811,0,255,0,0,100,1,1
13,124,420,105.801,0,255,0,0,100,1,1
14,865,667,-84.9522,0,255,0,0,100,1,1
15,610,614,-170.47,0,255,0,0,100,1,1
16,564,78,18.1942,0,255,0,0,100,1,1
17,412,357,-18.2358,0,255,0,0,100,1,1
18,961,532,-23.5209,0,255,0,0,100,1,1
19,760,629,147.682,0,255,0,0,100,1,1
20,524,222,-143.071,0,255,0,0,100,1,1
21,486,630,178.72,0,255,0,0,100,1,1
22,629,440,52.3822,0,255,0,0,100,1,1
23,482,170,-5.16946,0,255,0,0,100,1,1
24,546,842,-118.682,0,255,0,0,100,1,1
25,424,898,-128.801,0,255,0,0,100,1,1
26,663,525,59.0625,0,255,0,0,100,1,1
27,397,226,109.118,0,255,0,0,100,1,1
28,943,646,23.0295,0,255,0,0,100,1,1
29,958,371,59.4936,0,255,0,0,100,1,1
30,534,106,68.8881,0,255,0,0,100,1,1
31,342,378,-89.0967,0,255,0,0,100,1,1
32,432,862,-145.937,0,255,0,0,100,1,1
33,630,262,-144.79,0,255,0,0,100,1,1
34,848,213,-178.834,0,255,0,0,100,1,1
35,126,706,-147.146,0,255,0,0,100,1,1
36,368,99,165.262,0,255,0,0,100,1,1
37,940,377,-113.52,0,255,0,0,100,1,1
38,34,580,52.3827,0,255,0,0,100,1,1
39,422,144,-118.547,0,255,0,0,100,1,1
40,798,682,-50.8569,0,255,0,0,100,1,1
41,841,230,48.4493,0,255,0,0,100,1,1
42,789,691,-47.6243,0,255,0,0,100,1,1
43,189,552,135.931,0,255,0,0,100,1,1
44,247,327,-33.7042,0,255,0,0,100,1,1
45,883,340,119.133,0,255,0,0,100,1,1
46,356,573,42.194,0,255,0,0,100,1,1
47,277,299,97.7202,0,255,0,0,100,1,1
48,130,440,101.484,0,255,0,0,100,1,1
49,946,453,-117.294,0,255,0,0,100,1,1
50,716,306,-103.303,0,255,0,0,100,1,1
51,332,234,161.88,0,255,0,0,100,1,1
52,591,789,-5.16002,0,255,0,0,100,1,1
53,576,70,71.0083,0,255,0,0,100,1,1
54,115,386,4.37684,0,255,0,0,100,1,1
55,381,549,22.5823,0,255,0,0,100,1,1
56,560,543,-57.5839,0,255,0,0,100,1,1
57,607,693,141.683,0,255,0,0,100,1,1
58,76,378,121.627,0,255,0,0,100,1,1
59,640,780,-65.4197,0,255,0,0,100,1,1
60,280,794,27.9818,0,255,0,0,100,1,1
61,494,777,-2.16422,0,255,0,0,100,1,1
62,423,958,-66.0407,0,255,0,0,100,1,1
63,329,881,-90.7835,0,255,0,0,100,1,1
64,547,431,-110.765,0,255,0,0,100,1,1
65,802,629,-134.277,0,255,0,0,100,1,1
66,721,91,83.9189,0,255,0,0,100,1,1
67,779,598,-118.673,0,255,0,0,100,1,1
68,343,767,-11.1061,0,255,0,0,100,1,1
69,478,400,124.643,0,255,0,0,100,1,1
70,666,456,38.9688,0,255,0,0,100,1,1
71,240,378,93.9482,0,255,0,0,100,1,1
72,287,210,74.1116,0,255,0,0,100,1,1
73,741,100,-118.335,0,255,0,0,100,1,1
74,523,144,-163.497,0,255,0,0,100,1,1
75,117,752,151.935,0,255,0,0,100,1,1
76,784,368,37.1363,0,255,0,0,100,1,1
77,740,895,35.7717,0,255,0,0,100,1,1
78,585,195,178.078,0,255,0,0,100,1,1
79,353,512,-12.9232,0,255,0,0,100,1,1
80,517,403,179.673,0,255,0,0,100,1,1
81,584,855,102.262,0,255,0,0,100,1,1
82,869,214,-138.723,0,255,0,0,100,1,1
83,252,254,-84.3694,0,255,0,0,100,1,1
84,421,815,-41.521,0,255,0,0,100,1,1
85,695,857,12.8754,0,255,0,0,100,1,1
86,694,82,128.42,0,255,0,0,100,1,1
87,264,511,-51.5334,0,255,0,0,100,1,1
88,969,431,-14.9999,0,255,0,0,100,1,1
89,333,166,24.1401,0,255,0,0,100,1,1
90,474,804,159.48,0,255,0,0,100,1,1
91,56,655,144.676,0,255,0,0,100,1,1
92,176,819,102.668,0,255,0,0,100,1,1
93,379,72,102.975,0,255,0,0,100,1,1
94,658,588,169.631,0,255,0,0,100,1,1
95,672,389,132.855,0,255,0,0,100,1,1
96,461,23,-99.0554,0,255,0,0,100,1,1
97,110,412,108.966,0,255,0,0,100,1,1
98,293,813,107.644,0,255,0,0,100,1,1
99,692,807,-132.072,0,255,0,0,100,1,1
100,165,384,31.0318,0,255,0,0,100,1,1
101,642,682,13.6268,0,255,0,0,100,1,1
102,68,381,-99.951,0,255,0,0,100,1,1
103,721,321,102.386,0,255,0,0,100,1,1
104,569,474,-119.848,0,255,0,0,100,1,1
105,839,404,53.2822,0,255,0,0,100,1,1
106,315,730,-25.305,0,255,0,0,100,1,1
107,392,475,-103.718,0,255,0,0,100,1,1
108,408,792,40.5188,0,255,0,0,100,1,1
109,183,589,118.945,0,255,0,0,100,1,1
110,159,471,-42.0691,0,255,0,0,100,1,1
111,728,668,123.529,0,255,0,0,100,1,1
112,70,470,30.025,0,255,0,0,100,1,1
113,301,533,34.961,0,255,0,0,100,1,1
114,397,815,-95.886,0,255,0,0,100,1,1
115,205,650,-67.2262,0,255,0,0,100,1,1
116,412,412,62.1517,0,255,0,0,100,1,1
117,49,477,-126.454,0,255,0,0,100,1,1
118,824,530,152.147,0,255,0,0,100,1,1
119,595,663,-50.6177,0,255,0,0,100,1,1
120,293,134,119.753,0,255,0,0,100,1,1
121,248,628,-131.429,0,255,0,0,100,1,1
122,783,550,-82.8502,0,255,0,0,100,1,1
123,943,327,34.1656,0,255,0,0,100,1,1
124,450,402,79.665,0,255,0,0,100,1,1
125,589,896,-177.848,0,255,0,0,100,1,1
126,549,958,-42.3056,0,255,0,0,100,1,1
127,870,483,61.1154,0,255,0,0,100,1,1
128,152,489,129.631,0,255,0,0,100,1,1
129,351,192,-10.5236,0,255,0,0,100,1,1
130,173,731,92.5356,0,255,0,0,100,1,1
131,719,555,-133.664,0,255,0,0,100,1,1
132,142,637,147.637,0,255,0,0,100,1,1
